,Peaks,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660
Cells,Time,0.166666667,0.333333333,0.5,0.666666667,0.833333333,1,1.166666667,1.333333333,1.5,1.666666667,1.833333333,2,2.166666667,2.333333333,2.5,2.666666667,2.833333333,3,3.166666667,3.333333333,3.5,3.666666667,3.833333333,4,4.166666667,4.333333333,4.5,4.666666667,4.833333333,5,5.166666667,5.333333333,5.5,5.666666667,5.833333333,6,6.166666667,6.333333333,6.5,6.666666667,6.833333333,7,7.166666667,7.333333333,7.5,7.666666667,7.833333333,8,8.166666667,8.333333333,8.5,8.666666667,8.833333333,9,9.166666667,9.333333333,9.5,9.666666667,9.833333333,10,10.16666667,10.33333333,10.5,10.66666667,10.83333333,11
1,149,1.518255164,1.523924751,1.607118843,1.535809695,1.535995541,1.550574794,1.61175547,1.604810413,1.554831093,1.555427108,1.565026906,1.622832845,1.566118714,1.570109146,1.598099147,1.568720115,1.609661209,1.605592761,1.610647116,1.627783222,1.621023423,1.607314584,1.637346089,1.657506386,1.64158127,1.625593747,1.635864027,1.654880751,1.628706334,1.618342031,1.643541765,1.635979906,1.622508738,1.643896928,1.636508496,1.614107743,1.651935792,1.619871406,1.574493683,1.538803337,1.586537947,1.571515721,1.570152695,1.512033944,1.511447619,1.493608294,1.486993659,1.478511874,1.497023867,1.448332814,1.491547402,1.462304882,1.396516569,1.32874945,1.316827213,1.287743348,1.288312911,1.266015685,1.184790874,1.172660598,1.152133203,1.149134066,1.159770566,1.073882699,1.113639356,1.117700737
2,149,1.340212873,1.482626483,1.283487413,1.225283578,1.25435552,1.218689203,1.096105715,1.118574365,1.168611404,1.515908029,1.473430803,1.439311628,1.436791045,1.428722958,1.429318452,1.388463477,1.347633781,1.3439021,1.345075902,1.314098148,1.251391829,1.443760741,1.481971507,1.530555167,1.572585499,1.454510912,1.392864572,1.389350816,1.34349232,1.413094638,1.464746024,1.488373008,1.491834318,1.478362136,1.459489638,1.432733699,1.479540545,1.479612633,1.515832709,1.515482487,1.518339362,1.508711362,1.337111001,1.345218942,1.341454475,1.438312355,1.422139674,1.427931745,1.406939047,1.42665075,1.385786302,1.427996389,1.408817321,1.377322975,1.391675532,1.373186478,1.403220027,1.391120921,1.359017898,1.313590199,,,,,,
3,149,1.299793519,1.311659823,1.302788113,1.410425566,1.368235719,1.381396729,1.413211018,1.385647263,1.392108618,1.376432271,1.39062467,1.350727963,1.386031528,1.380119406,1.381948557,1.389613463,1.358177723,1.377684291,1.383965975,1.400506693,1.380097704,1.390707312,1.408449121,1.387916343,1.389815355,1.386509941,1.359643209,1.381450082,1.383559529,1.404264416,1.36995047,1.353663221,1.331966377,1.344620634,1.352771386,1.336787354,1.30830447,1.315500184,1.335449749,1.35778147,1.29239211,1.279084061,1.276132319,1.270010544,1.294374858,1.258849061,1.278180049,1.249383794,1.232058342,1.261433151,1.212958221,1.206278241,1.230568807,1.198153294,1.203042921,1.187640983,1.010343653,1.041150834,1.125984787,1.094422628,1.061736554,1.025263018,1.009502537,1.037709656,1.061489851,1.036323882
11,149,1.435812583,1.604815855,1.754161494,1.718110105,1.743723349,1.804138998,1.809136894,1.788647152,1.785740076,1.799244252,1.787749043,1.809467657,1.788343869,1.783309466,1.805456336,1.805660554,1.810532148,1.826405394,1.802673839,1.814435644,1.806052988,1.780818636,1.802660883,1.805617827,1.786930214,1.810978697,1.793013563,1.797146354,1.80559451,1.769880019,1.802024758,1.79188122,1.812323864,1.770162389,1.764871873,1.781558493,1.810821532,1.80110136,1.78103243,1.776582673,1.77943009,1.76797296,1.768476337,1.749193196,1.763277589,1.73577842,1.719056417,1.764240216,1.776755519,1.744257609,1.75337777,1.759993981,1.770449268,1.731664697,1.733227301,1.746146004,1.736501616,1.765709498,1.77282367,1.735384195,1.748425544,1.743734109,1.738870975,1.730071943,1.762819112,1.740681649
12,149,1.307457713,1.29194317,1.320110198,1.287064437,1.340984911,1.380209832,1.367128581,1.392413078,1.331661636,1.308185824,1.333556177,1.384489215,1.381558255,1.348573823,1.313491064,1.364232831,1.369782848,1.345651564,1.360349415,1.367780912,1.370941242,1.36174913,1.406832008,1.349223424,1.349274126,1.381275845,1.361723908,1.375023517,1.377173303,1.406925715,1.374696168,1.406696143,1.37532348,1.392477801,1.408557118,1.438190129,1.407337519,1.377974106,1.3919247,1.382706907,1.392668185,1.42684607,1.395732287,1.423505979,1.358951979,1.411503524,1.369969683,1.407692635,1.417961576,1.395144036,1.461746346,1.390426096,1.4308061,1.439221798,1.405239715,1.41743696,1.38157939,1.414759548,1.416669654,1.376540121,1.438739743,1.421929655,1.444006267,1.448850923,1.418676558,1.398897018
14,149,1.191117134,1.290529926,1.410042664,1.39394302,1.358455598,1.418563224,1.440455562,1.396573169,1.400373424,1.421130872,1.448839641,1.426215866,1.50165999,1.444656975,1.477616229,1.425379884,1.478072086,1.404961283,1.445920417,1.407883203,1.456763949,1.43699817,1.374903285,1.421311573,1.428272676,1.390513793,1.38748231,1.391376274,1.451275452,1.41589237,1.455221092,1.420495538,1.443650615,1.411129944,1.411165896,1.397091197,1.439060516,1.423915292,1.372948714,1.381339519,1.410359459,1.421190768,1.417740606,1.378291576,1.450089509,1.359650814,1.350650563,1.366873711,1.355248933,1.466363076,1.420306724,1.41052024,1.385373751,1.383110969,1.405288699,1.416866989,1.381043333,1.410784734,1.413015626,1.404343177,1.398213263,1.427833442,1.383199279,1.403568452,1.404925452,1.393348855
15,149,1.257883079,1.445414905,1.42092634,1.45850845,1.480272417,1.448976449,1.526271055,1.460218121,1.482023957,1.47268238,1.464381847,1.465206782,1.46960552,1.442344494,1.466503926,1.474961723,1.446162439,1.441225466,1.431260741,1.441487318,1.441350507,1.39051189,1.453131919,1.421912066,1.402510509,1.419165796,1.387364002,1.529950855,1.466879054,1.473420921,1.482918846,1.468124346,1.480476107,1.479636247,1.501087644,1.517935573,1.511164483,1.532596684,1.498751057,1.52907528,1.50621733,1.538563705,1.531130504,1.572171639,1.568254231,1.53309509,1.576110133,1.527326693,1.5630059,1.533666976,1.551805408,1.561910145,1.566476239,1.558047097,1.561347806,1.548825205,1.563020408,1.585642718,1.56032268,1.574046728,1.593031244,1.570915747,1.582451243,1.576944203,1.576813988,1.554674651
1,217,1.613178992,1.618400004,1.701246905,1.666128797,1.651270581,1.648395684,1.664956626,1.684104682,1.64640943,1.639315234,1.654966312,1.716678059,1.664719523,1.654611135,1.653198029,1.665200227,1.693498346,1.676490615,1.678592963,1.69480414,1.702939573,1.718404879,1.711640166,1.724373862,1.712918035,1.722665808,1.719734596,1.747162329,1.706788263,1.694219144,1.742143485,1.720071309,1.701039176,1.721057898,1.752085822,1.715888466,1.735914242,1.714698811,1.67759714,1.619478947,1.684599084,1.682929058,1.647832447,1.585906513,1.588644741,1.568872626,1.562545931,1.543822173,1.570560844,1.528168283,1.583677661,1.594759758,1.469685781,1.409644789,1.438926841,1.391715083,1.393852383,1.374563366,1.269965902,1.291769324,1.249741801,1.228669031,1.26909167,1.242833533,1.255343141,1.247645843
