,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,AA
304,D1-4,D1,4,TRUE,JCM14889-1s-326,0.587187124,220,206,232,5.393290345,2,304,3.075406543
305,D1-4,D1,4,TRUE,JCM14889-1s-327,0.818058375,220,208,231,7.431537483,2,305,3.808194444
306,D1-4,D1,4,TRUE,JCM14889-1s-328,0.580460887,220,209,231,4.761814569,2,306,2.830403285
307,D1-4,D1,4,TRUE,JCM14889-1s-329,0.985060631,220,200,231,8.273488375,2,307,4.090651114
308,D1-4,D1,4,TRUE,JCM14889-1s-330,0.855756341,220,196,231,7.076795397,2,308,3.686020614
309,D1-4,D1,4,TRUE,JCM14889-1s-331,1.187299215,221,204,233,9.66306528,2,309,4.536733576
310,D1-4,D1,4,TRUE,JCM14889-1s-332,0.862686383,220,203,230,7.265887042,2,310,3.751391827
311,D1-4,D1,4,TRUE,JCM14889-1s-333,0.950869786,220,208,231,8.350636096,2,311,4.116041128
313,D1-4,D1,4,TRUE,JCM14889-1s-335,0.476600061,220,209,229,3.862073262,2,313,2.461578397
314,D1-4,D1,4,TRUE,JCM14889-1s-336,0.555760967,220,209,229,4.706690274,2,314,2.80851715
315,D1-4,D1,4,TRUE,JCM14889-1s-337,0.927889871,220,207,235,8.690340513,2,315,4.226924874
316,D1-4,D1,4,TRUE,JCM14889-1s-338,0.571710169,221,209,232,5.038485715,2,316,2.939002944
319,D1-4,D1,4,TRUE,JCM14889-1s-341,0.789157824,220,209,234,7.044687443,2,319,3.674862997
320,D1-4,D1,4,TRUE,JCM14889-1s-342,0.77018879,220,205,229,6.395680662,2,320,3.445544374
321,D1-4,D1,4,TRUE,JCM14889-1s-343,0.730620417,220,210,232,5.91620247,2,321,3.271111533
322,D1-4,D1,4,TRUE,JCM14889-1s-344,1.234915183,220,207,232,10.46309014,2,322,4.78380327
323,D1-4,D1,4,TRUE,JCM14889-1s-345,0.752408921,220,206,232,6.637832337,2,323,3.531974171
324,D1-4,D1,4,TRUE,JCM14889-1s-346,0.364970322,221,212,231,2.978041085,2,324,2.069921093
325,D1-4,D1,4,TRUE,JCM14889-1s-347,0.324601514,220,208,228,2.804761872,2,325,1.988828478
326,D1-4,D1,4,TRUE,JCM14889-1s-348,1.089793814,220,208,231,8.440269908,2,326,4.145442447
327,D1-4,D1,4,TRUE,JCM14889-1s-349,0.504144036,220,203,228,4.00755487,2,327,2.523013949
328,D1-4,D1,4,TRUE,JCM14889-1s-350,0.486485673,220,209,229,4.568370341,2,328,2.753219703
329,D1-4,D1,4,TRUE,JCM14889-1s-351,0.462092549,220,207,230,4.72987426,2,329,2.8177323
330,D1-4,D1,4,TRUE,JCM14889-1s-352,0.407970792,221,209,229,3.112189924,2,330,2.131624623
331,D1-4,D1,4,TRUE,JCM14889-1s-353,0.365693699,220,206,235,3.866668513,2,331,2.463530601
332,D1-4,D1,4,TRUE,JCM14889-1s-354,0.312547806,219,210,231,2.892096758,2,332,2.029902659
333,D1-4,D1,4,TRUE,JCM14889-1s-355,0.56982488,219,209,233,5.978297042,2,333,3.293960042
334,D1-4,D1,4,TRUE,JCM14889-1s-356,1.047378465,220,204,233,10.10169842,2,334,4.673005218
335,D1-4,D1,4,TRUE,JCM14889-1s-357,0.377962855,219,206,230,4.857735819,2,335,2.868286937
336,D1-4,D1,4,TRUE,JCM14889-1s-359,1.460223201,220,200,232,13.32617634,2,336,5.620872109
337,D1-4,D1,4,TRUE,JCM14889-1s-361,1.222671918,220,205,232,10.78643607,2,337,4.881859945
338,D1-4,D1,4,TRUE,JCM14889-1s-362,1.292001682,220,200,232,10.9334551,2,338,4.926119585
339,D1-4,D1,4,TRUE,JCM14889-1s-363,1.412674322,220,205,232,13.12644891,2,339,5.564568612
340,D1-4,D1,4,TRUE,JCM14889-1s-364,0.445755396,219,206,232,4.286322895,2,340,2.638699426
341,D1-4,D1,4,TRUE,JCM14889-1s-365,1.337290618,220,206,231,11.91497241,2,341,5.216693977
342,D1-4,D1,4,TRUE,JCM14889-1s-366,0.739723518,220,207,232,6.950987944,2,342,3.642204754
343,D1-4,D1,4,TRUE,JCM14889-1s-367,0.573011016,220,206,232,5.533387441,2,343,3.128436806
344,D1-4,D1,4,TRUE,JCM14889-1s-368,0.657603712,220,207,230,5.958151385,2,344,3.286555892
345,D1-4,D1,4,TRUE,JCM14889-1s-369,0.709044137,220,205,234,6.948737889,2,345,3.641418716
346,D1-4,D1,4,TRUE,JCM14889-1s-370,1.465719193,220,203,232,12.30698826,2,346,5.330498894
347,D1-4,D1,4,TRUE,JCM14889-1s-372,1.505487946,220,201,232,12.68838185,2,347,5.440065891
348,D1-4,D1,4,TRUE,JCM14889-1s-373,0.485924431,219,209,229,4.247327709,2,348,2.6226712
349,D1-4,D1,4,TRUE,JCM14889-1s-374,0.930471047,219,203,231,7.772807345,2,349,3.923906066
350,D1-4,D1,4,TRUE,JCM14889-1s-375,0.672888039,220,209,230,5.727875383,2,350,3.201319651
351,D1-4,D1,4,TRUE,JCM14889-1s-376,0.783263984,220,209,230,6.750321893,2,351,3.571765916
353,D1-4,D1,4,TRUE,JCM14889-1s-378,0.833264669,220,205,229,7.522516367,2,353,3.839211999
354,D1-4,D1,4,TRUE,JCM14889-1s-379,0.848999608,220,209,229,7.482013873,2,354,3.82541896
355,D1-4,D1,4,TRUE,JCM14889-1s-380,0.939973937,220,207,234,8.659715726,2,355,4.216988569
356,D1-4,D1,4,TRUE,JCM14889-1s-381,0.680842214,220,208,230,5.830809972,2,356,3.239559234
357,D1-4,D1,4,TRUE,JCM14889-1s-382,0.626043047,219,207,228,5.397173333,2,357,3.076882492
358,D1-4,D1,4,TRUE,JCM14889-1s-383,1.091755835,220,204,231,9.145911724,2,358,4.373387945
359,D1-4,D1,4,TRUE,JCM14889-1s-384,0.912256513,220,206,232,7.493186313,2,359,3.829226191
360,D1-4,D1,4,TRUE,JCM14889-1s-385,0.682413378,220,209,231,5.755902076,2,360,3.211753932
361,D1-4,D1,4,TRUE,JCM14889-1s-386,1.267418214,220,206,232,10.48040959,2,361,4.789080868
362,D1-4,D1,4,TRUE,JCM14889-1s-387,1.216217226,220,201,232,10.06435575,2,362,4.661481729
363,D1-4,D1,4,TRUE,JCM14889-1s-388,1.589589737,220,200,235,14.16424231,2,363,5.85412824
364,D1-4,D1,4,TRUE,JCM14889-1s-389,0.878022221,220,201,232,7.544488429,2,364,3.846684178
365,D1-4,D1,4,TRUE,JCM14889-1s-390,0.764789629,220,207,229,6.168001238,2,365,3.363279562
366,D1-4,D1,4,TRUE,JCM14889-1s-391,0.863485312,220,206,235,7.837935224,2,366,3.94579435
367,D1-4,D1,4,TRUE,JCM14889-1s-392,0.499942241,220,206,230,4.48078399,2,367,2.717915843
368,D1-4,D1,4,TRUE,JCM14889-1s-393,1.173993218,220,207,235,10.68750231,2,368,4.851963008
369,D1-4,D1,4,TRUE,JCM14889-1s-394,1.125649824,220,201,232,9.720113849,2,369,4.554571957
370,D1-4,D1,4,TRUE,JCM14889-1s-395,0.70399118,220,206,231,6.202819402,2,370,3.375924752
371,D1-4,D1,4,TRUE,JCM14889-1s-396,0.975470649,220,207,232,8.443283122,2,371,4.146429015
372,D1-4,D1,4,TRUE,JCM14889-1s-397,0.587545972,220,207,230,5.369368092,2,372,3.06630571
373,D1-4,D1,4,TRUE,JCM14889-1s-398,0.926825436,220,209,231,7.800811881,2,373,3.933325339
374,D1-4,D1,4,TRUE,JCM14889-1s-399,1.288656878,220,201,232,11.47056233,2,374,5.086157518
