id,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,content
256,d1-1,d1,1,TRUE,JCM14889-1-1s-52,0.759146874,218,204,229,7.492458908,2,256,2.097888494
257,d1-1,d1,1,TRUE,JCM14889-1-1s-53,0.560724457,217,206,229,5.28227457,2,257,1.47903688
258,d1-1,d1,1,TRUE,JCM14889-1-1s-54,0.745456786,217,200,229,7.579046038,2,258,2.122132891
259,d1-1,d1,1,TRUE,JCM14889-1-1s-55,1.082091437,218,202,232,11.3542508,2,259,3.179190224
260,d1-1,d1,1,TRUE,JCM14889-1-1s-56,0.505403834,217,207,230,4.928984357,2,260,1.38011562
261,d1-1,d1,1,TRUE,JCM14889-1-1s-57,0.553307132,217,206,229,5.399932268,2,261,1.511981035
262,d1-1,d1,1,TRUE,JCM14889-1-1s-58,0.3336248,217,207,228,3.14399041,2,262,0.880317315
263,d1-1,d1,1,TRUE,JCM14889-1-1s-59,0.55716312,218,206,228,5.679135767,2,263,1.590158015
264,d1-1,d1,1,TRUE,JCM14889-1-1s-60,0.49846727,218,204,231,5.424089845,2,264,1.518745157
265,d1-1,d1,1,TRUE,JCM14889-1-1s-61,0.636539109,217,204,233,6.943200659,2,265,1.944096185
266,d1-1,d1,1,TRUE,JCM14889-1-1s-62,0.380691315,218,205,229,3.479599806,2,266,0.974287946
267,d1-1,d1,1,TRUE,JCM14889-1-1s-63,0.779224431,218,204,229,8.461494036,2,267,2.36921833
268,d1-1,d1,1,TRUE,JCM14889-1-1s-64,0.848406519,217,202,229,9.169640709,2,268,2.567499399
269,d1-1,d1,1,TRUE,JCM14889-1-1s-65,0.781421925,217,205,229,7.938806839,2,269,2.222865915
270,d1-1,d1,1,TRUE,JCM14889-1-1s-66,0.45046732,218,204,228,4.045013345,2,270,1.132603737
271,d1-1,d1,1,TRUE,JCM14889-1-1s-67,0.710522727,217,201,229,7.308238711,2,271,2.046306839
272,d1-1,d1,1,TRUE,JCM14889-1-1s-69,1.298350134,218,202,233,13.87439958,2,272,3.884831882
273,d1-1,d1,1,TRUE,JCM14889-1-1s-70,0.66514186,217,204,228,6.546655821,2,273,1.83306363
274,d1-1,d1,1,TRUE,JCM14889-1-1s-71,0.779232053,218,205,230,8.286773371,2,274,2.320296544
275,d1-1,d1,1,TRUE,JCM14889-1-1s-72,0.566149057,218,206,229,5.975233763,2,275,1.673065454
276,d1-1,d1,1,TRUE,JCM14889-1-1s-73,0.552231628,218,206,231,5.615384358,2,276,1.57230762
277,d1-1,d1,1,TRUE,JCM14889-1-1s-74,0.618658065,217,203,231,6.19736058,2,277,1.735260962
278,d1-1,d1,1,TRUE,JCM14889-1-1s-75,0.850394949,217,202,229,8.949083028,2,278,2.505743248
279,d1-1,d1,1,TRUE,JCM14889-1-1s-76,0.945454816,218,204,233,9.800094985,2,279,2.744026596
280,d1-1,d1,1,TRUE,JCM14889-1-1s-77,0.43469613,218,203,228,4.34410049,2,280,1.216348137
281,d1-1,d1,1,TRUE,JCM14889-1-1s-78,0.844503178,218,203,231,8.771416401,2,281,2.455996592
282,d1-1,d1,1,TRUE,JCM14889-1-1s-79,0.718139066,217,204,230,7.816145402,2,282,2.188520713
283,d1-1,d1,1,TRUE,JCM14889-1-1s-80,0.883836964,217,203,230,9.050179999,2,283,2.5340504
284,d1-1,d1,1,TRUE,JCM14889-1-1s-81,0.274323322,217,207,229,2.842205127,2,284,0.795817436
285,d1-1,d1,1,TRUE,JCM14889-1-1s-82,0.538429751,218,204,229,5.830301485,2,285,1.632484416
286,d1-1,d1,1,TRUE,JCM14889-1-1s-83,0.411612857,217,204,228,4.206837313,2,286,1.177914448
287,d1-1,d1,1,TRUE,JCM14889-1-1s-84,1.041918291,218,203,229,10.93531213,2,287,3.061887396
288,d1-1,d1,1,TRUE,JCM14889-1-1s-85,0.575647379,218,204,229,5.722116763,2,288,1.602192694
