,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,AA
174,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-132,1.820033378,220,208,232,17.22267237,2,174,6.669096885
175,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-133,2.079462936,221,206,235,20.00543029,2,175,7.369396627
176,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-134,1.940375145,221,207,236,19.40177934,2,176,7.220396393
177,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-135,0.601100088,220,210,233,5.110108447,2,177,2.966789577
178,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-136,1.175468137,220,210,230,10.06144651,2,178,4.660583377
179,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-137,2.574199412,220,206,232,22.83109507,2,179,8.047935647
180,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-138,0.51272786,221,211,237,6.384522501,2,180,3.441535718
181,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-139,1.73759025,220,207,232,16.55891265,2,181,6.496626162
182,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-140,1.866795345,221,209,232,16.77706279,2,182,6.553560102
183,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-141,1.776921303,221,208,235,17.30393731,2,183,6.690059116
184,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-142,2.062266946,220,203,232,18.98883381,2,184,7.117577352
185,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-143,0.824030793,221,209,232,7.967858758,2,185,3.989279066
186,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-144,0.82547058,220,206,232,7.688407767,2,186,3.895449744
187,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-145,1.07519656,220,210,231,10.20683195,2,187,4.705372136
188,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-146,1.799101034,220,206,235,17.23940171,2,188,6.673414896
190,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-148,1.674143698,221,207,232,15.33831622,2,190,6.173315286
191,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-149,1.590768938,220,207,232,14.52201721,2,191,5.952297527
192,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-150,1.017110469,221,212,232,8.232295581,2,192,4.077061885
193,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-151,0.746353236,220,210,235,7.746592909,2,193,3.915078634
194,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-152,0.945482893,221,208,232,8.748361624,2,194,4.245718061
195,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-153,1.752206128,220,206,232,16.53804937,2,195,6.491168099
196,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-154,0.560720398,221,214,235,5.283535752,2,196,3.033540287
197,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-155,0.79647074,220,210,235,8.019855548,2,197,4.006615781
199,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-158,1.616519982,220,208,232,15.21156677,2,199,6.139259138
200,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-159,1.938306951,221,209,235,18.34917031,2,200,6.956823009
201,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-160,1.557650262,220,208,232,13.82972124,2,201,5.761589123
202,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-161,1.64198106,220,199,232,14.99772354,2,202,6.081586608
203,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-162,2.094040791,221,206,234,20.07818716,2,203,7.387253439
204,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-163,0.435008771,221,207,228,4.394974406,2,204,2.683104371
206,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-167,1.139186319,220,209,233,11.62881452,2,206,5.132830967
207,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-168,1.623478539,221,207,233,14.80154091,2,207,6.028435517
208,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-169,1.946409186,221,207,234,18.63943391,2,208,7.029997095
209,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-170,0.93173312,220,209,232,9.65805997,2,209,4.535166805
210,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-171,1.31826359,220,206,234,13.33911481,2,210,5.624509746
211,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-172,0.557226933,221,211,233,5.896282117,2,211,3.263764667
